"Код","Название","Адрес"
"1","Категория Б","#NULL!"
"2","Эмир","Толстого, 104, 1 этаж"
"3","Ғұламжан","Акназар Хан, 60/3"
"4","Құрмет","Жибек жолы, 95, 1-2 этаж"
"5","Құрмет","Жуманова, 23/1"
"6","Құс жолы","Алибекова, 1а, 1 этаж"
"7","Ғабит","Хайруллина, 31"
"8","Ғабит","Бекболатова, 131/1"
"9","ҒАЗИЗА","Нурсултана Назарбаева проспект, 31, 1 этаж"
"10","Қазығұрт","Алдиярова, 2/1"
"11","Қазығұрт","Богенбай батыра, 83"
"12","Қазына","Елшибек батыра, 116/1"
"13","Қазына","Нурсат микрорайон, 107, 1 этаж"
"14","Қазына","18-й микрорайон, 8, 1 этаж"
"15","Қазына","Отырар, 64/1"
"16","Қайнар","Сайрамская, 38"
"17","Қайнар","Жубанова, 40Б"
"18","Қайсар","Рыскулова, 1007"
"19","Қара-су","Туркестанская, 4, 1 этаж"
"20","Қарахан Баба","Новостройка, 28"
"21","Қарлығаш","Туякбаева, 14а"
"22","Қарлығаш","Байтурсынова, 73, 1 этаж"
"23","Қарлығаш","Верещагина, 75"
"24","Қасиет","Байысбаева, 1/1, 1 этаж"
"25","ӘБДІРАХМАН АТА","Панфилова, 68/3, 1 этаж"
"26","Әдiлет","Казакстан, 16а"
"27","Әдемі","Дулати, 54, 1 этаж"
"28","Әдемі әже","Аккурай, 33/1"
"29","Әділ","Бактияров, 27/1"
"30","Әділет","4-й микрорайон, 3а"
"31","ҰЛ АС","Жолан Батыра, 115/1"
"32","Әлiби","Жибек жолы, 4/8"
"33","Әлия","Сурикова, 1а/1"
"34","Ұлық-төбе","Сайрамская, 45д, 1 этаж"
"35","Үміт","Северный жилмассив, 142/6"
"36","Қос бұлақ","Назарбекова, 222/1, 2 этаж"
"37","Әсел","8-й микрорайон, 5/1"
"38","ӘСЕЛ","Муканова, 87"
"39","Әсел","Восток микрорайон, 90, 1 этаж"
"40","Әсел","Жиделибайсын, 89, 1 этаж"
"41","Әсел","Алимкулова, 4, 1 этаж"
"42","Қуаныш","8-й микрорайон, 7/2"
"43","Қуаныш","Спатаева, 65/1"
"44","Қуаныш","Кабанбай батыра проспект, 5а, 1 этаж"
"45","Қудайберген-Ата","Аргынбекова, 1/5"
"46","Әшірбай Ата","4-й микрорайон, 9/5"
"47","Қызмет","Тауке Хана проспект, 160, 1 этаж"
"48","Қызмет","Коктем, 1/1"
"49","13","Майтобе, 4/1"
"50","24 сағат","Гагарина, 188/1"
"51","28","Гагарина, 88, 1 этаж"
"52","3-шi дүкен","Интернациональная, 56/1"
"53","700","Отарбаева, 665/1"
"54","77","Балтабай Нурлыбекова, 63/1"
"55","777","Жанкожа батыра, 205Б"
"56","777","8-й микрорайон, 12, 1 этаж"
"57","777","Байдибек би проспект, 20/4"
"58","888","Абдыразакова, 4/2"
"59","Aidana","Бауыржан Момышулы проспект, 147/2, 1 этаж"
"60","ALAMAN","Аламан, 1/2"
"61","ALI","Жибек жолы, 7/8"
"62","Almahan Ata","Юсупова, 130"
"63","Almira","Алии Молдагуловой, 4"
"64","Arbat","Бейбитшилик, 2"
"65","ARNAU","Аргынбекова, 60, 1 этаж"
"66","Arzan","Шокана Уалиханова, 225в/3, 1 этаж"
"67","Arzan MARKET","Кабанбай батыра проспект, 10"
"68","ARZU","Туркестанская, 6, 1 этаж"
"69","Asem ana","Тамерлановское шоссе, 152/1, 1 этаж"
"70","AZIYA","Тауке Хана проспект, 99/1"
"71","Azyq-tulik dukeni","Абдалиева, 2/1"
"72","Bagjan","Астана микрорайон, 93, 0 этаж"
"73","BAQDAULET","Мырзаби Ерназарова, 60, 1 этаж"
"74","Bayan Sulu","Абая проспект, 11а/13, 1 этаж"
"75","BAYMART","16-й микрорайон, 37, 1 этаж"
"76","Beksultan","Аргынбекова, 68/10"
"77","Bereke 89","Асар микрорайон, 120/4"
"78","Bis","Аманжолова, 60"
"79","City Market","Туркестан, 106/1, 1 этаж"
"80","COCA COLA","Жылкышиева, 182/2"
"81","Daiana","Нурсат 2 микрорайон, 20, 1 этаж"
"82","Dala fruit","Байтурсынова, 102, 1 этаж"
"83","Dana","Машат, 38/2"
"84","DELOS","Майлы Кожа, 202а, 1 этаж"
"85","Diana","Интернациональная, 60/1, 1 этаж"
"86","Dostar","Отырар микрорайон, 12/7"
"87","Eldos","18-й микрорайон, 19"
"88","Ernur","Республики проспект, 10, 1 этаж"
"89","FAMILY","Алматинская трасса, 13/1"
"90","Fariza","Аль-Фараби, 168"
"91","Firkan","16-й микрорайон, 43/1"
"92","Firkan","Толе би, 39а"
"93","GORILLA","Желтоксан, 114, 1 этаж"
"94","JADI","Айтымбет улы, 10"
"95","Jansaia","Восток микрорайон, 41/1"
"96","Jasur","Сатыбалдиева, 43/2"
"97","Juicy","Бау-бакша проезд, 2"
"98","LEMON","Рыскулова, 359/7"
"99","MADI","Аргынбекова, 65/1, 1 этаж"
"100","Magaz","Казыбек Би, 49"
"101","Martobe","Жибек жолы, 9/4, 1 этаж"
"102","MEDIA","Тыныбаева, 21"
"103","Miras","Байтурсынова, 88/1, 1 этаж"
"104","Nazik","Еламан, 94/3а"
"105","Nesibeli","Тамерлановское шоссе, 202, 1 этаж"
"106","NIX","Север микрорайон, 34, 1 этаж"
"107","№44","Гагарина, 44, 1 этаж"
"108","Nur Tabys","Айдын, 130"
"109","Nursaia","Астана микрорайон, 87, 0 этаж"
"110","OKEY","Ибрагим ата, 113/37, 1 этаж"
"111","Qanag’at","Арайлытан, 541"
"112","Qanagat","Байтурсынова, 206/1"
"113","QANAGAT","Толе би, 20/8"
"114","Qarashash Ana","Туганбай Алпысбаева, 1/2"
"115","Rahat","Сатыбалдиева, 22"
"116","RICH","17-й микрорайон, 16а/3"
"117","Royal","Диваева, 129, 1 этаж"
"118","SALIMA","17-й микрорайон, 8/1"
"119","SAMRUKOIL","Байдибек би проспект, 130/6"
"120","SARA","Юсупова, 36"
"121","Sayram","Ибрагим ата, 259/2"
"122","Shahruh","Айбергенова, 5/7"
"123","Sher","Амира Тимура, 41а"
"124","SNICKERS","Чайковского, 58"
"125","START","Дулати, 133а, 1 этаж"
"126","Ta-Di","Нурлыбаева, 22/1"
"127","Unikassa","Нурсат микрорайон, 39/2"
"128","Urbibi marketi","Тамерлановское шоссе, 21, 1 этаж"
"129","Yalihan","Рыскулбекова, 5/5, 1 этаж"
"130","zenit","Момынова, 90/1"
"131","А & К","Арайлытан, 166"
"132","А? Бастау","Турсынкул Утегенова, 7/5, 1 этаж"
"133","А? Боса?а","Бауыржан Момышулы проспект, 20а, 1 этаж"
"134","А? Дастархан","Тауке Хана проспект, 33, 1 этаж"
"135","А? Жар?ын","Елшибек батыра, 97"
"136","А? Желкен","Аль-Фараби площадь, 1Б/2, 1 этаж"
"137","А? жол","Маншук Маметовой, 20а/1, 1 этаж"
"138","А? кеме","Кошерова, 63, 1 этаж"
"139","А? Маржан","Иргелес, 161/2"
"140","А? тілек","Диваева, 142Б/1"
"141","А?-?айын","Исмаилова, 24, 1 этаж"
"142","А?-?айын-2","Астана микрорайон, 90, цокольный этаж"
"143","А?-?Й","Бауыржан Момышулы проспект, 5, 1 этаж"
"144","А?-Ерке","Шокана Уалиханова, 4/1"
"145","А?-ЖАЙЫ?","Талдыколь, 1/1"
"146","Ақ-ниет","18-й микрорайон, 5, 1 этаж"
"147","А?б?ла?","Юсупова, 10/1"
"148","А?бастау","Акбастау, 258/1"
"149","А?БАЯН","Гагарина, 44/1, 1 этаж"
"150","А?бота","Сайрам микрорайон, 7, 1 этаж"
"151","А?ерке","Гагарина, 102, 1 этаж"
"152","А?ерке","Шамши Калдаякова, 1/27а"
"153","А?жан","Шамши Калдаякова, 2/5, 1 этаж"
"154","А?жол","Дауренбека Курманбекова, 96/1"
"155","А?жуніс","Баянаул, 31/1"
"156","А?маржан","Тилеулес, 2"
"157","А?ниет","Айбергенова, 5а, 1 этаж"
"158","А?ЫЛ","Камытбек Мамешов, 1/1"
"159","А?ыл","Алматинская трасса, 9/4, 1 этаж"
"160","А66","Амангельды, 66/1, 1 этаж"
"161","Абiлхаир","Есенова, 1/9"
"162","Абай","Спортивный микрорайон, 15/1"
"163","Абай","4-й микрорайон, 19/1"
"164","АББАС","Капал батыра, 54а/1"
"165","АББАС АТА","Аль-Фараби, 155"
"166","АБДУКОСИМ АТА","Юсуфа Сареми, 5/4"
"167","Абдулазиз","Алга, 2/2"
"168","Абдулазиз","Алга, 2/4"
"169","Абдулла ата","Молдабаева, 29"
"170","Абдупаттах ата","17-й микрорайон, 20, 1 этаж"
"171","Абдурахман","Север микрорайон, 64, 1 этаж"
"172","Абдурахман ата","Камысты, 75а"
"173","Абдурахман Ата","Ергеш ата Исраилова, 26"
"174","Абдусамат","Абзал, 9/2"
"175","Абен","Елшибек батыра, 118, 1 этаж"
"176","АБЗАЛ","Сапак датка, 7/3"
"177","Абзал","Сулейменова, 19/2"
"178","Абзал","Куртаева, 3/3"
"179","АБЗАЛ","Асар микрорайон, 1/5"
"180","АБК","1 Мая, 22а, 1 этаж"
"181","Абылайхан","Толе би, 23, 1 этаж"
"182","АБЫЛАЙХАН","Асар микрорайон, 1892"
"183","Аврора","Крейсера Авроры, 26/1, 1 этаж"
"184","Аврора","Алдиярова, 12г, 1 этаж"
"185","Автострахование","Достык микрорайон, 3/1, 1 этаж"
"186","Агабай ата","Ташенова, 36"
"187","Адал","Ауэзова, 49Б"
"188","Адей","Тамерлановское шоссе, 40/2"
"189","Аделя","Толе би, 39а"
"190","Адема","Хабира Пазикова, 108а/1, 1 этаж"
"191","Адил","Тамерлановское шоссе, 71/1"
"192","Адил","Айтымбет улы, 22"
"193","АДИНА","Акпан батыра, 120, 1 этаж"
"194","Адиш","Балтабай Нурлыбекова, 2373Б"
"195","АЖАР","Торекулова, 195/3, 1 этаж"
"196","АЗАМАТ","Шокана Уалиханова, 192/1"
"197","Азамат","Аккараган, 32а"
"198","АЗАМАТ","Куртаева, 29"
"199","Азамат","Орынбаева, 13/1"
"200","Азамат","Тамерлановское шоссе, 1а/8"
"201","Азамат","Жиделибайсын, 42"
"202","АЗАМАТ","Ашира Едилбаева, 177, 1 этаж"
"203","Азат","Чехова, 22"
"204","Азат","Сапарбаева, 168/1"
"205","Азат","Жиделибайсын, 90/4"
"206","АЗАТ","Северо - Запад микрорайон, 435"
"207","Азат и К","Аскарова, 24, 1 этаж"
"208","Азем","Октябрьская, 5, 1 этаж"
"209","АЗИЗ","Жангельдина, 3/1"
"210","Азиз","Абдыразакова, 6, 1 этаж"
"211","Азиз","Ергеш ата Исраилова, 32/2"
"212","Азиза","Темирказы, 5"
"213","Азиза","Интернациональная, 100"
"214","Азиза","Адильбек Керимше, 71, 1 этаж"
"215","АЗИЗА","Володарского, 7, 1 этаж"
"216","Азиза","Абдраймова, 41"
"217","Азико","Аскарова, 32, 1 этаж"
"218","Азия","Суворова, 4а"
"219","Аида","Бокейханова, 864, 1 этаж"
"220","Аида","4-я, 5/1"
"221","Аида","Шокана Уалиханова, 213в, 1 этаж"
"222","Аида","Нурсултана Назарбаева проспект, 46, 0 этаж"
"223","Аиша","Тауке Хана проспект, 65/1"
"224","Аия","Торекулова, 218/1"
"225","АЙ АРУ","Республики проспект, 16"
"226","Ай_Ару","Тамерлановское шоссе, 46"
"227","Ай-Асыл","Дулати, 127"
"228","Ай-Дина","Алии Молдагуловой, 12, 1 этаж"
"229","Ай-Сара","Алматинская трасса, 36/1, 1 этаж"
"230","Айару","Жангельдина, 5а, 1 этаж"
"231","Айару","Абдраймова, 3/1"
"232","Айарум","Акназар Хан, 56/1, 1 этаж"
"233","Айбар","Ертана Болганбаева, 2"
"234","Айбар","Ашира Едилбаева, 5/8"
"235","Айбек","Север микрорайон, 44, 1 этаж"
"236","Айбек","Узбекская, 33/1"
"237","Айг?л","Айдын, 21/2"
"238","Айгерим","Рыскулбекова, 8/1, 1 этаж"
"239","АЙГЕРИМ","Рахимова, 15/1"
"240","Айгерім","Гагарина, 34а"
"241","Айгерім","Север микрорайон, 48/1"
"242","Айгерім","Еримбетова, 36/1"
"243","Айгул","Жандарбекова, 84"
"244","Айгуль","16-й микрорайон, 17/1"
"245","Айгуль","Тамерлановское шоссе, 24/2"
"246","Айгуль","Тауке Хана проспект, 95а"
"247","Айдан","Тауке Хана проспект, 226"
"248","Айдана","Аймаутова, 57а"
"249","Айдана","Алаколь, 48/1"
"250","Айдана","Аль-Фараби, 264/1"
"251","Айдарбек","Шардара, 43а"
"252","Айдос","Шокана Уалиханова, 223Б/1, 1 этаж"
"253","Айдос","Гагарина, 124, 1 этаж"
"254","Айжан","Сайрам микрорайон, 9/1"
"255","Айжан","Абая проспект, 12а/1, 1 этаж"
"256","Айжан","Махмудова, 77/1, 1 этаж"
"257","Айжан ана","Абдразакова, 7/1"
"258","АЙЖАР?ЫН","Жандарбекова, 84/2"
"259","Айзада","Амира Тимура, 152а/2"
"260","Айзада Ана","Тайманулы, 2а/8"
"261","Айзере","Каскабаева, 20"
"262","Айида","4-й микрорайон, 17, 1 этаж"
"263","Айка","Отырар, 19"
"264","Айкерим","Шымбулак, 1/4"
"265","Айлин","Нижний отырар микрорайон, 10 ст54, 1 этаж"
"266","Айлин","Мунайтпасова, 169"
"267","АЙМАН 24 САГАТ","Жангельдина, 28а, 0 этаж"
"268","Айман-Шолпан","8-й микрорайон, 4/1"
"269","Айн?р","Жангельдина, 12в/1"
"270","Айн?р","Акназар Хан, 1, 1 этаж"
"271","Айн?р","Жандарбекова, 142/1"
"272","АЙНА","Камысты, 45/1"
"273","Айна","Шокана Уалиханова, 213/13, 1 этаж, 32 бутик"
"274","Айнаш","Жибек жолы, 1/12"
"275","Айнаш","Жастык, 2/2, 1 этаж"
"276","Айнур","16-й микрорайон, 42"
"277","Айнур","Жанатурмыс, 1/1"
"278","Айнур","Таубалытас, 1/2"
"279","Айран-Шейх","Гани Иляева, 31/2"
"280","Айс?лтан","Тулпар, 10/1"
"281","Айсана","Дауренбека Курманбекова, 69/1"
"282","Айсана","Север микрорайон, 25, 1 этаж"
"283","Айсу","Рыскулова, 1, 1 этаж"
"284","Айсултан","Шаяхметова, 956/1"
"285","Айсултан","Ахметова, 32/1"
"286","Айсулу","Токаева, 11, 1 этаж"
"287","Айтгул","Шардара, 1/8"
"288","Айшак?л-ана","Макталы, 27/1"
"289","Айшан?р","Сейитова, 89/1"
"290","Айя","Стадионная, 2, 1 этаж"
"291","Ак","Амира Тимура, 262/6"
"292","Ак Дастархан","Казыбек Би, 29, 1 этаж"
"293","АК ЖАЛ","Ибрагим ата, 281"
"294","АК НИЕТ","Диваева, 122, 1 этаж"
"295","Ак-Ниет","Карасу микрорайон, 66/3"
"296","Акация","Жартас, 26"
"297","Акбар","Менделеева, 45"
"298","Акбар","Амира Тимура, 297/2, 1 этаж"
"299","Акберен","Север микрорайон, 44, 1 этаж"
"300","Акбота","Кок сай 1 микрорайон, 336/1"
"301","АКВЕДУК","Капал батыра, 6/8"
"302","Акерке","Айнабулак, 118/1"
"303","Акжол","Тастак, 122"
"304","Акжурек","Айбергенова, 3"
"305","Акку","Шокана Уалиханова, 215Б, 1 этаж"
"306","Акку","Нурсултана Назарбаева проспект, 22"
"307","АКМЫРЗА","Восток микрорайон, 12/1"
"308","АКНИЕТ","Раугаш, 1/1"
"309","Акниет","Сыздыкова, 3/1"
"310","Акпар","Север микрорайон, 24/1, 1 этаж"
"311","Акрам","Капал батыра, 10/1"
"312","Актам","Актам, 2/1"
"313","Ал-Ди-Ас","Сыпырган ата, 58, 1 этаж"
"314","Ала-Тау","Жасталап, 78/1"
"315","Алатау","Байтерекова, 1/1"
"316","АЛЕМ","Тауке Хана проспект, 99"
"317","Алем","Казына, 14"
"318","Ален","Байтурсынова, 88Б, 1 этаж"
"319","Ален","Ерманова, 13/1, 1 этаж"
"320","Али","Бекболатова, 93"
"321","Али","3-й микрорайон, 12а"
"322","Али","Жандосова, 215"
"323","Алибек","18-й микрорайон, 45, 1 этаж"
"324","АлиЖас","Кожанова, 22"
"325","Алима","Толе би, 22а"
"326","Алима Апа","Гулдала, 615/2"
"327","Алимжан ата","4-й микрорайон, 14/1"
"328","Алина","Зердели, 1а, 1 этаж"
"329","Алина","Шокана Уалиханова, 233а, 1 этаж"
"330","Алинур","Астана микрорайон, 71"
"331","Алинур","Нурсултана Назарбаева проспект, 39, цокольный этаж"
"332","Алихан","Бауыржан Момышулы проспект, 52/1"
"333","АЛИХАН","Гани Иляева, 326/1"
"334","Алихан","Ашира Едилбаева, 3/2"
"335","Алихан","Нурсат 2 микрорайон, 23а, 1 этаж"
"336","Алишан","Махмудова, 28, 1 этаж"
"337","АЛИШЕР","Казына, 2"
"338","АЛИШЕР","Курбан ата, 67/3"
"339","Алия","Тамерлановское шоссе, 236/16"
"340","Алия","Аскарова, 7/3, 1 этаж"
"341","Алия","Сайрам микрорайон, 13г, 1 этаж"
"342","Аллах верды","Спатаева, 49/2"
"343","Алма","Гажайып, 22Б"
"344","Алмас","Ермекбаева, 23/1"
"345","АЛМАС","Ескендерова, 11/36"
"346","Алмас","Ашира Едилбаева, 65"
"347","Алмас","Рыскулова, 26/1"
"348","Алмас","Аль-Фараби, 164/1"
"349","Алмат","Кошерова, 5/6"
"350","АлН?р","Уркимбаева, 15, 1 этаж"
"351","АлНур","Темирказы, 19/1, 1 этаж"
"352","Алтын Алма","Макталы, 127"
"353","Алтын Балы?","Аймаутова, 80, 1 этаж"
"354","Алтын Д?н","Алматинская трасса, 6/5"
"355","Алтын к?з","Республики проспект, 8/2, 1 этаж"
"356","Алтын Сам?ры?","Тамерлановское шоссе, 144а, 1 этаж"
"357","Алтын-Алма","3-й микрорайон, 2а, 1 этаж"
"358","Алтынай","Тауке Хана проспект, 249"
"359","Алтынай","Мангельдина, 33, 1 этаж"
"360","Алтынай","Айбергенова проезд, 5, 1 этаж"
"361","АЛТЫНАЙ","16-й микрорайон, 5, 1 этаж"
"362","Алтынай","Север микрорайон, 7, 1 этаж"
"363","Алтынкул ана","Шокана Уалиханова, 192а/1"
"364","Алуа","Лихачёва проезд, 24а"
"365","Алуа","Шойынбаевой, 1/2"
"366","АЛЬ БАРАКА","Юсуфа Сареми, 9/3"
"367","Аль Мансур","Жибек жолы, 2/1, 1 этаж"
"368","Альтаир","Джусупова, 4, 1 этаж"
"369","Альтаир","Интернациональная, 125"
"370","Амангелді","Мейырбекова, 26/1, 1 этаж"
"371","Амина","Рыскулбекова, 50а"
"372","АМИНА","Абая проспект, 33Б/1"
"373","Амур Темур","Амира Тимура, 225а"
"374","Анар","Байтурсынова, 20/4, 1 этаж"
"375","АНАР","Баян батыра, 65/1"
"376","Анар","Жибек жолы, 30, 1 этаж"
"377","АНЕЛЬ","Клары Цеткин, 188/1"
"378","Анель","Республики проспект, 14, 1 этаж"
"379","Анеля","Байдибек би, 59"
"380","Анеля","Аскарова, 39/1"
"381","Аниса","Толе би, 12а, 1 этаж"
"382","Анна","Нахимова, 2/1"
"383","Ансар","Естемес би, 3077"
"384","Анталья","18-й микрорайон, 22а"
"385","Антилопа","Абая проспект, 22/1"
"386","Анюта","Рыскулова, 2/4"
"387","Ар-Райан","Мадели Кожа, 48/12, 1 этаж"
"388","АРАЙ","Айтеке би, 1/14, 1 этаж"
"389","Арай","Есил, 3/1"
"390","Арай","Гагарина, 117, 1 этаж"
"391","Арай","Жусанды, 52/1"
"392","Арай","Жибек жолы, 1/3"
"393","Арай 2","Тамерлановское шоссе, 30/1"
"394","Арайлым","Жангельдина, 12в/2"
"395","Арайлым","Нурсат микрорайон, 132, 1 этаж"
"396","АРАЙЛЫМ","4-й микрорайон, 5/1"
"397","Арайлым","Сасбукаева, 32, 1 этаж"
"398","Арайлым","Айдарлы, 1/2"
"399","Арайлым","Талдыколь, 123/1"
"400","Арайлым","Талдыколь, 123/1"
"401","Арасан","Кабанбай батыра проспект, 1"
"402","Аргос","Тауке Хана проспект, 330/4"
"403","Арзан","Жангельдина, 32, 1 этаж"
"404","Арзан","Алимбетова, 290/1"
"405","Арзан","Дербес, 1/9"
"406","Арзан","Арасан, 45/6"
"407","АРЗАН","Нурсат микрорайон, 118, 1 этаж"
"408","Арзан","Республики проспект, 46а, 1 этаж"
"409","АРЗАН","Нурсултана Назарбаева проспект, 36, 0 этаж"
"410","АРЗАН","Жибек жолы, 34"
"411","Арзан","Алии Молдагуловой, 17/1"
"412","Арзан","Акбосага, 760, 1 этаж"
"413","Арзан-2","Тиршилик, 1/2"
"414","Арзу","Спатаева, 74а"
"415","АРЗУ","Тажибаева, 79"
"416","АРЗУ","Юсуфа Сареми, 39/5"
"417","Арман","Асар микрорайон, 10/1"
"418","Арман","Желтоксан, 26/1"
"419","Арман","Жангельдина, 30, 1 этаж"
"420","АРМАН","Нурсат микрорайон, 39, 1 этаж"
"421","Арман","Хан Танири, 70"
"422","Арман","Теспе, 28"
"423","Арман","Байтулы Баба, 7, 1 этаж"
"424","Арман","Шокана Уалиханова, 3/13"
"425","АРМАН","Новостройка, 622/1"
"426","Арсен","Зере, 1/3"
"427","Арсен","Бексеита Тулкиева, 1/1"
"428","Арсен","Ак Биик, 1/1, 1 этаж"
"429","Арслан","Восток микрорайон, 24/1"
"430","Арслан","Акбастау, 63/1"
"431","Артаза","Байтурсынова, 79, 1 этаж"
"432","Аружан","Адырбекова, 22"
"433","Аружан","Байтурсынова, 79/4"
"434","Аружан","Восток микрорайон, 45, 1 этаж"
"435","Аружан","Абая проспект, 23, 1 этаж"
"436","Аружан","Гагарина, 206/2"
"437","АРУЖАН","Айбергенова, 5а/1"
"438","Аружан","Айшыкты, 16/3"
"439","Аружан","Балбулак, 20/1"
"440","АРУЖАН","Восток микрорайон, 96"
"441","Аружан","Алматинская трасса, 11/1, 1 этаж"
"442","Аружан","1 Мая, 27, 1 этаж"
"443","Аружан","Кандоз, 10"
"444","Аружан","Искакова, 1/9, 1 этаж"
"445","Аружан","Бабашулы, 46"
"446","Аруна","Акбастау, 1/1"
"447","Арыс","193-й квартал, 021"
"448","Ас- Нур","Асар 2 микрорайон, 2/1"
"449","АС?АР","Талдыколь, 60"
"450","Ас?ар Тау","Бауыржан Момышулы проспект, 184/1, 1 этаж"
"451","АСАДБЕК","Макаренко, 7/1"
"452","АСАР-2","Сырым батыра, 171/1"
"453","Асел","Республики проспект, 17/1"
"454","Асел","Кутузова, 23/1"
"455","АСЕЛ","Аскарова, 38/1, 1 этаж"
"456","Асел","Володарского, 1а, 1 этаж"
"457","Асел","Ибрагим ата, 118/1, 1 этаж"
"458","Асель","Круговой, 2/1, 1 этаж"
"459","Асель","Торекулова, 222/1"
"460","Асель","Землячки, 2"
"461","Асель","Каламбаева, 76"
"462","Асель","Тайманулы, 2а/1"
"463","Асем","Жангельдина, 12г, 1 этаж"
"464","Асем","Макталы, 131"
"465","Асем","Восток микрорайон, 96"
"466","АСЕМ","Нурсат микрорайон, 117, 1 этаж"
"467","Асем-ай","Бабыра, 70"
"468","Асемгул ана","Аркалык, 30"
"469","АСИЯ","Бахриза Рамиза, 73"
"470","АСК","Терешковой, 50а, 1 этаж"
"471","Аскер","Кажи Алмахан, 116/1"
"472","Аслан","Айбергенова, 71а/2"
"473","АСЛАН","Камытбек Мамешов, 26/1"
"474","Аслан","Чайковского, 92"
"475","Аслан","Тамерлановское шоссе, 40, 1 этаж"
"476","АССОРТИ","Шилменбетова, 9а"
"477","Ассорти","Сайрамская, 122/1"
"478","Ассорти","Абдраймова, 11/1"
"479","Ассорти","Желтоксан, 4, 1 этаж"
"480","Астана","Спортивный микрорайон, 1/1"
"481","АСТАНА","Жандарбекова, 101"
"482","Астана","18-й микрорайон, 45/2"
"483","Асхат","Рашидова, 27, 1 этаж"
"484","Асхат","Айбергенова, 5, 1 этаж"
"485","Асыл-ай","Елшибек батыра, 35/1"
"486","Асылжан","Таубалытас, 68/1"
"487","АСЫЛЖАН","Ташенова, 4/1, 1 этаж"
