"Код","Название","Адрес"
"488","Ася","17-й микрорайон, 12, 1 этаж"
"489","Ата","Байдибек би проспект, 960"
"490","АТАБЕК","Амангельды, 90/1"
"491","Атаман","Республики проспект, 41, 1 этаж"
"492","АТАМЕКЕН","Север микрорайон, 3/4"
"493","Атамекен","Джусупова, 20/1"
"494","АТАМЕКЕН","Абая проспект, 33а/1"
"495","АТАМЕКЕН","Нурсат микрорайон, 2/1"
"496","АТАМЕКЕН","18-й микрорайон, 47/1"
"497","АТАМЕКЕН","Нурсат микрорайон, 39/2"
"498","АТАМЕКЕН","18-й микрорайон, 4/5 киоск"
"499","АТАМЕКЕН","Жангельдина, 12/1"
"500","АТК","Сасбукаева, 32, 1 этаж"
"501","АТК","Байдибек би проспект, 84"
"502","Атхам","Аль-Фараби, 147, 1 этаж"
"503","Ахан ата","Анарова, 10Б, 1 этаж"
"504","Ахмед","Алии Молдагуловой, 1/1"
"505","АХМЕТ АТА","Алпамыс батыра, 1/4"
"506","Аэлина","Байтиленова, 35, 1 этаж"
"507","Аю","Турген, 5/1"
"508","Аяжан","Аргынбекова, 7/7"
"509","Аяжан","Тамерлановское шоссе, 4/1, 1 этаж"
"510","Аяжан","Жангельдина, 26, 1 этаж"
"511","АЯЖАН","Космекен, 2/1"
"512","Аяла","Туркестанская, 6, 1 этаж"
"513","Аян","Спортивный микрорайон, 23, 1 этаж"
"514","Аян","Сайрам микрорайон, 27/2, 1 этаж"
"515","Аяна","Байтурсынова, 75"
"516","Аяна","Тулпар, 1/5"
"517","Аяна","Жангельдина, 15/9, 1 этаж"
"518","Аянат","Камытбек Мамешов, 30/1"
"519","Аят","Сейфуллина, 1"
"520","Аят","Жибек жолы, 134, 1 этаж"
"521","АЯУЛЫМ","Муратбаева, 71/1"
"522","Аяулым","Нурсултана Назарбаева проспект, 45, цокольный этаж"
"523","Аяулым","Тогайбека Ташмуханбетова, 59"
"524","Аяш","Канагат, 34/1"
"525","Б?кір Ерлан","Аймаутова, 143/1, 1 этаж"
"526","Б?кір Марат","Аймаутова, 143/1, 1 этаж"
"527","Ба?-К?т","Кабанбай батыра проспект, 18, 1 этаж"
"528","Ба??он","Кенесарина, 21/1, 1 этаж"
"529","Ба?д?улет","Тайманулы, 1г/3"
"530","Ба?д?улет","Нурсат микрорайон, 155, 1 этаж"
"531","Ба?даулет","Север микрорайон, 63, 1 этаж"
"532","БА?ЖАН","Еламан, 1/1"
"533","Ба?жан","Алга, 2/1"
"534","БА?КЕЛДІ","Кок сай 3 микрорайон, 307, 1 этаж"
"535","Ба?тияр","Север микрорайон, 24/2"
"536","Ба?тияр","Балкыбекова, 499"
"537","БА?ЫТК?РІМ","Гагарина, 32, 1 этаж"
"538","Багдад","Арасан, 2/1"
"539","Базарбай Ата","Косдиирмен, 33/1, 1 этаж"
"540","Базет","4-й микрорайон, 15а"
"541","Бай?али","Айша биби, 42/1"
"542","БАЙЖИГИТ","Северный жилмассив, 128/8"
"543","Байназар","Володарского, 2/11, 1 этаж"
"544","Байназар","Кошкар-ата, 1/1"
"545","Байназар-2","Жандосова, 21а, 1 этаж"
"546","Байрух","Восток микрорайон, 39, 1 этаж"
"547","Байсал Ата","Абдразакова, 7/5"
"548","БАЙТЕРЕК","Карасу микрорайон, 40, 1 этаж"
"549","Бак-Нур","Айбергенова проезд, 3, 1 этаж"
"550","Бакалея","Байтурсынова, 81, 0 этаж"
"551","Бакдаулет","Мамытова, 1/1"
"552","БАКЕ","Изгилик, 4720"
"553","Бакытжан","Жибек жолы, 87"
"554","Балапан","Назармат Ерметова, 80/1"
"555","БАЛАУСА","Акорда, 10/2, 1 этаж"
"556","Балауса","Карасу микрорайон, 26/1, 1 этаж"
"557","Балауса","Байзакова, 39"
"558","Балдаурен","Акбастау, 22/1"
"559","Балды-Су","Шокана Уалиханова, 202, 1 этаж"
"560","Балдырган","Жибек жолы, 17/2"
"561","Балдырган","Алпысбаева, 101/1, 1 этаж"
"562","БАЛЖАН","Бакытты, 71/1, 1 этаж"
"563","Балжан Ана","Адырбекова, 4, 1 этаж"
"564","Балн?р","Сайрам микрорайон, 32, 1 этаж"
"565","Балн?р","17-й микрорайон, 17/1, 1 этаж"
"566","Балтабай","Бадамская, 1/4"
"567","Балы?","Алматинская трасса, 25/1"
"568","Балым","Инкардария, 252"
"569","БАМ","Полярная, 1/1"
"570","Бану","Домалак ана, 42"
"571","Бану","Мустафа Озтурука, 54/1"
"572","Бану","Новостройка, 4"
"573","БАРАКАТ","Жансугурова, 81/1, 1 этаж"
"574","Барыс","Кабанбай батыра проспект, 13а/1"
"575","Бастау","Коктобе, 5/1"
"576","БАТЫР","Алибекова, 85/1"
"577","Баум","Гагарина, 283"
"578","БАУЫРЖАН","Отырар микрорайон, 40/2"
"579","Бауыржан","Тауке Хана проспект, 65"
"580","Бахтияр","Юсуфа Сареми, 11/14, 1 этаж"
"581","Бахты Карим","Куаныш Толеметова, 1/7"
"582","Баян","Баян батыра, 129/1"
"583","Баян","Володарского, 2а, 1 этаж"
"584","Бегали","Акбаева, 225/1"
"585","Бей-арс","Жолдасбекова, 53/1"
"586","Бейбарыс","Айдарлы, 3/1"
"587","Бек","Есенова, 1/4, 1 этаж"
"588","Бек","Искакова, 1/6"
"589","БЕК","Амира Тимура, 154/2"
"590","Бек-Апа","Амирбекова, 88/1"
"591","Бек-Тас","Макталы, 17/1, 1 этаж"
"592","БЕКАРЫС","Алматинская трасса, 22/2"
"593","Бекет","Отырар, 128/2"
"594","Бекет","Жибек жолы, 56/1"
"595","Бекжан","16-й микрорайон, 8/1"
"596","Бекжан","Юсупова, 13/1"
"597","Бекжан","Гагарина, 135"
"598","БЕКЗАД","Дауылова, 4, 1 этаж"
"599","БЕКМУРАТ","17-й микрорайон, 11а/1"
"600","Бекназар","Балдырган, 30а/1"
"601","Бекнур","Жамалбека Шаймерденова, 249"
"602","Бекнур","Макталы, 58"
"603","Бексултан","Сарбаздар, 6а, 1 этаж"
"604","БЕЛЕС","Турсынкул Утегенова, 1621, 1 этаж"
"605","Бен","18-й микрорайон, 19/1"
"606","Березка","Восток микрорайон, 31/6, 1 этаж"
"607","Береке","Мамытбека Сматлаева, 23"
"608","БЕРЕКЕ","Алпамыс батыра, 2/3"
"609","Береке","Нурсат микрорайон, 163, 1 этаж"
"610","Береке","Адырбекова, 2Б"
"611","Береке","Байтурсынова, 76/1"
"612","Береке","17-й микрорайон, 19/1, 1 этаж"
"613","Береке","Карасу микрорайон, 22/1"
"614","Береке","Шаттык, 7/4"
"615","Береке","Асар микрорайон, 1473, 1 этаж"
"616","Береке","Нурсат 2 микрорайон, 15а, 1 этаж"
"617","Береке","Байдибек би проспект, 22а"
"618","БЕРЕКЕ","Кайтпас 2 микрорайон, 249"
"619","Береке","Ташенова, 108/9, 1 этаж"
"620","Береке","Алпысбаева, 94"
"621","БЕРЕКЕ","Алтын Гасыр, 37"
"622","Береке","Нурсат микрорайон, 89, 1 этаж"
"623","Береке","Алматинская трасса, 13/13"
"624","Береке","Тамерлановское шоссе, 24а/1"
"625","БЕРЕКЕ","Бейбитшилик, 6/2, 1 этаж"
"626","Береке","Курылыс, 5/5"
"627","БЕРЕКЕ","Жандарбекова, 137"
"628","Береке","Саттарханова, 35/1"
"629","Береке","8-й микрорайон, 17а, 1 этаж"
"630","Береке","Есенберлина, 13, 1 этаж"
"631","Береке","Мелдеходжаева, 52/1"
"632","БЕРЕКЕ","Шугыла, 94"
"633","Береке","Толе би, 39а"
"634","Береке","Бозтоган, 1/3"
"635","Береке","Байтурсынова, 17/2, 1 этаж"
"636","Береке","18-й микрорайон, 10/1"
"637","Береке","Фазыл Куралбайулы, 49/2"
"638","Береке","Дулатова, 31/1"
"639","Береке","Желтоксан, 240, 2 этаж"
"640","Береке","Север микрорайон, 58/1"
"641","Береке","Жиделибайсын, 73, 1 этаж"
"642","Береке","Досмухамедова, 10/1, 1 этаж"
"643","Береке","Асар микрорайон, 1/7, 1 этаж"
"644","Береке","Тарбагатай, 5/1"
"645","Береке","Рыскулбекова, 5/5, 1 этаж"
"646","Береке","Азаттык, 4"
"647","Береке","Байтурсынова, 73"
"648","Береке","Карабура аулие, 2/2"
"649","Береке","Сурикова, 5, 1 этаж"
"650","Береке ет","Куаныш Толеметова, 69/10"
"651","Берекет","Шокана Уалиханова, 1/1, 1 этаж"
"652","БЕРЕН","Сырым батыра, 167"
"653","Берік","Амангельды, 1/1"
"654","БЕРІК","Жанкожа батыра, 36/1"
"655","Берік","Восток микрорайон, 89, 1 этаж"
"656","Беркат","Карасу микрорайон, 58"
"657","Беркут","Аль-Фараби, 168"
"658","Бес ж?лдыз","192-й квартал, 359/18"
"659","БИБИ-АЙША","18-й микрорайон, 18, 1 этаж"
"660","Биік","Аль-Фараби, 179/2"
"661","Биржан","Кошерова, 6/2"
"662","Биржан","Сыпырган ата, 22"
"663","Бистро","Рыскулбекова, 1в, 1 этаж"
"664","Бит?ре","Гагарина, 6"
"665","Бірлік","Жамалбека Шаймерденова, 5/1, 1 этаж"
"666","Божбан","Айтеке би, 39а/3"
"667","Болат","Володарского, 17/1"
"668","БОЛАША?","Жибек жолы, 581/2"
"669","БОНУ","Юсуфа Сареми, 11/2"
"670","Боранкул ана","Кызылсу, 28"
"671","Бордо","Бейбитшилик, 20, 1 этаж"
"672","БОРЗ","Карасу микрорайон, 12"
"673","Бота","Туркестанская, 2/5, 1 этаж"
"674","Ботак?з","Светофорный проезд, 8/1"
"675","БУЛОЧНАЯ","Шокана Уалиханова, 219, 1 этаж"
"676","БУЛОЧНАЯ","Толе би, 20в, 1 этаж"
"677","Бутик 61","Рашидова, 55, 1 этаж"
"678","Валентина","Абдыразакова, 10/1"
"679","Вахаб Ата","Кунбатыс, 100"
"680","Вахаб ата","Юсуфа Сареми, 1/7"
"681","Венера","Каратюбинское шоссе, 69"
"682","Ветерок","Алдиярова, 66/1"
"683","Виктор+","Республики проспект, 25а"
"684","Виктория","Шопена, 56"
"685","Виктория","Тажибаева, 189"
"686","Витязь","Шокана Уалиханова, 244"
"687","Восток","Восток микрорайон, 33, 1 этаж"
"688","Восток","Восток микрорайон, 42, 1 этаж"
"689","Восхождение","Алимбетова, 199, 1 этаж"
"690","Г?л","Сайрамская, 165/1"
"691","Г?лн?р","Казиева, 152/7"
"692","Габит","Аймаутова, 23"
"693","Гайрат","Жамалова, 4/6"
"694","Галия","Асылбекова, 51/1"
"695","Гараж","Байтурсынова, 6/1"
"696","Гараж","Бабыра, 100"
"697","Гарант","Дулати, 8, 1 этаж"
"698","Гастроном","Республики проспект, 43а"
"699","ГАУ?АР ТАС","Мамыражай, 12/2"
"700","Гаухар","Отырар микрорайон, 10/1"
"701","Гаухар","Дулати, 97/1"
"702","Гаухар","Туркестанская, 2/5а"
"703","Гаухар","Суюнбая, 19/1"
"704","Гаухар","Шокана Уалиханова, 3а/1"
"705","ГАУХАР ТАС","Республики проспект, 2а/1"
"706","Гезаль","Тауке Хана проспект, 95/7"
"707","Гиязжан","Шамши Калдаякова, 97"
"708","Гранд","Дулати, 148/1, 1 этаж"
"709","Гука","Сайрамская, 163/3"
"710","Гул Асем","Карасу микрорайон, 54, 1 этаж"
"711","Гул-Ислам","Есенберлина, 13, 1 этаж"
"712","Гулбахор","Сман Азимова, 146/1"
"713","Гулдаригаханым","Турсынбаева, 32а"
"714","Гулдер","Кошерова, 96/2"
"715","Гулдер","Жангельдина, 5а, 1 этаж"
"716","Гулжаухар","Торекулова, 258/1"
"717","ГУЛНАЗ","Отырар микрорайон, 55/1"
"718","Гулназ","Муканова, 68/4"
"719","Гулнара","Север микрорайон, 67Б, 1 этаж"
"720","Гулсара","Каратас, 30"
"721","Гулсара","Жамбыл Жабаева, 159"
"722","Гулсым","Север микрорайон, 10"
"723","Гульнар","Акназар Хан, 51/1, 1 этаж"
"724","ГУЛЬНАР","Шамши Калдаякова, 2, 1 этаж"
"725","Гульнара","Кремлёвская, 54"
"726","Гульнара","Есенова, 44"
"727","Гульшар","Аймаутова, 143/1, 1 этаж"
"728","Гуля ?пше","Жангельдина, 14, 1 этаж"
"729","Д?м","16-й микрорайон, 5, 1 этаж"
"730","Д?мді","16-й микрорайон, 2, 1 этаж"
"731","Дән","Шокана Уалиханова, 225а/2"
"732","Д?урен","Бектаева, 52"
"733","Д?урен","Кошерова, 2/2"
"734","ДАҢҚ","Восток микрорайон, 17/1"
"735","Давлат","Матросова, 3, 1 этаж"
"736","Дадаш ата","Молдабаева, 95/1"
"737","ДаДи-1","Кенесарина, 4, 1 этаж"
"738","Дамир","Исмаилова, 17/1"
"739","Дамира","Республики проспект, 17, 1 этаж"
"740","Дамира","Республики проспект, 45, 1 этаж"
"741","Дамирис","Карасу микрорайон, 4а"
"742","Дана","Байырбек Садыкулы, 15/1"
"743","ДАНА","Акназар Хан, 46"
"744","ДАНА","Сырым батыра, 9а"
"745","Дана","Тайманулы, 2а/11"
"746","Дана","Адырбекова, 136, 1 этаж"
"747","Дана","Восток микрорайон, 32/1, 1 этаж"
"748","Дана","Байдибек би проспект, 20, 1 этаж"
"749","Данай","Тауке Хана проспект, 304, 1 этаж"
"750","Данеля","Шардара, 4/7"
"751","Даниял","Кабанбай батыра проспект, 2"
"752","Данияр","Жангельдина, 22"
"753","Данияр","Тамерлановское шоссе, 53Б/3"
"754","Дара","Еримбетова, 52/6"
"755","Дария","Карасу микрорайон, 23"
"756","ДАРМЕН","Ардагера, 1/1"
"757","Дархан","Бозтоган, 1/1"
"758","Дарын","Восток микрорайон, 2/1"
"759","Дастан","Абдыразакова, 4/1"
"760","Дастан","Тамерлановское шоссе, 40, 1 этаж"
"761","ДАСТАН","Омешулы, 73"
"762","ДАСТАН","Тамерлановское шоссе, 1/2г"
"763","Дастан","Алимбетова, 250"
"764","Дастархан","Алпысбаева, 84"
"765","Дастархан","Гагарина, 242"
"766","Дастархан","Жибек жолы, 32, 1 этаж"
"767","ДАСТАРХАН","Тамерлановское шоссе, 12/5"
"768","Дастархан","Шамши Калдаякова, 8, 1 этаж"
"769","Дауір","Алдиярова, 89/3"
"770","ДАУЛЕТ","Рашидова, 25в/1"
"771","Даулет","Нурымова, 69"
"772","ДАУЛЕТ","15-й микрорайон, 2/1"
"773","ДАУЛЕТ","Кабанбай батыра проспект, 12"
"774","Даулет","Ибрагим ата, 176а/4, 1 этаж"
"775","Даулет","Камбар батыра, 1/1"
"776","Даулет-Би","Восток микрорайон, 32, 1 этаж"
"777","Даулет-Би","Кожанова, 8/1, 1 этаж"
"778","Даурен","Спортивный микрорайон, 23, 1 этаж"
"779","Даурен","Гагарина, 26, 1 этаж"
"780","Даурен","Восток микрорайон, 15"
"781","Даурен","Туркестан, 57"
"782","ДДД","Север микрорайон, 11, 1 этаж"
"783","Дельфин","Терешковой, 25/5"
"784","Дельфин","Шмидта, 9, 1 этаж"
"785","Демир","Капал батыра, 74Б"
"786","Депо","Жансугурова, 40/2"
"787","ДИ-АЙС","Аль-Фараби, 47/1"
"788","Диа2","Жылкышиева, 17/1, 1 этаж"
"789","Диана","Изгилик, 2"
"790","Диана","Жибек жолы, 78/5"
"791","ДИАНА","Республики проспект, 38/1"
"792","Диана","Восток микрорайон, 42/1"
"793","Диана","Адильбек Керимше, 53"
"794","Диана","Махмудова, 21"
"795","Диана","18-й микрорайон, 8, 1 этаж"
"796","Диана","Отырар микрорайон, 60"
"797","Диас","Байтурсынова, 179/1, 1 этаж"
"798","Диас","Нурсат микрорайон, 93, 1 этаж"
"799","Диас","Нурсултана Назарбаева проспект, 51, 0 этаж"
"800","Диас","Бауыржан Момышулы проспект, 21, 1 этаж"
"801","Диера","Акпан батыра, 90/1"
"802","Диера","Жас казах, 10"
"803","Дилмиш Ата","Кошерова, 80/2, 1 этаж"
"804","ДИЛНОЗА","Аль-Фараби, 164"
"805","Дилшад","Алматинская трасса, 12/5"
"806","Дильбар","Амира Тимура, 76"
"807","Диля","Айтеке би, 45"
"808","Диля","Жумабекова, 91"
"809","Диляра","Шмидта, 12, 1 этаж"
"810","Дина","Север микрорайон, 55/1"
"811","Дина","Кабанбай батыра проспект, 11Б, 1 этаж"
"812","Динар","Дулатова, 98"
"813","Динар","Алии Молдагуловой, 4а/1, 1 этаж"
"814","Динара","Рыскулова, 5а/2"
"815","Динара","Казыбек Би, 133"
"816","Динара","Адильбек Керимше, 25/1"
"817","Динара","Нурлыбаева, 11/1"
"818","Динара","Жылкышиева, 200"
"819","Динара","Жибек жолы, 101/6"
"820","Динара","Гагарина, 107а, 1 этаж"
"821","Динара","Шокана Уалиханова, 243, 1 этаж"
"822","Динара","Шокана Уалиханова, 192/1"
"823","Динара","Аксуат, 2/1"
"824","Динара","Байтурсынова, 27"
"825","Динара","Гагарина, 49/2"
"826","Динара","Карасу микрорайон, 21"
"827","ДИНАРА","Капал батыра, 80/2"
"828","Динара","Астана микрорайон, 94, 0 этаж"
"829","Динур","Север микрорайон, 36/3, 1 этаж"
"830","Дио","Атасу, 7/1, 1 этаж"
"831","Дихан ата","Саттарханова, 94/1"
"832","ДИЯР","16-й микрорайон, 39, 1 этаж"
"833","ДИЯР","Коктем, 147"
"834","Ділміш-ата","Байтерекова, 118, 1 этаж"
"835","Дони","Спортивный микрорайон, 6/1, 1 этаж"
"836","Дос","16-й микрорайон, 3"
"837","Досан","Карасу микрорайон, 69/1"
"838","Достар","17-й микрорайон, 11а/1"
"839","Досты?","18-й микрорайон, 8"
"840","Достык","Бостан Алимбекова, 37"
"841","Достык","Тангышык, 12"
"842","Достык","Ергеш ата Исраилова, 139/2"
"843","Достык","Куаныш Толеметова, 1/3"
"844","Думан","Тасбулак, 1/2"
"845","Дыбыс","Орынбай акына, 97, 1 этаж"
"846","Дядя Миша","Бабыра, 13"
"847","Е? Арзан","Толе би, 20/10"
"848","Е? арзан","Аймаутова, 143/1, 1 этаж"
"849","Е?лiк","Нурсат 2 микрорайон, 23в, 1 этаж"
"850","Еламан","Уста-Махамата, 1/2, 1 этаж"
"851","ЕЛАР","Аскарова, 9, 1 этаж"
"852","ЕЛДОС","Айшыкты, 10/1"
"853","Елік-Ай","Алматинская трасса, 9/19"
"854","Елмурат","Казиева, 121/1, 1 этаж"
"855","Ер-Ай","Республики проспект, 25в/2"
"856","Ер-Н?р","Торекулова, 190/1"
"857","Ер-Нур","Нурсат микрорайон, 200/2"
"858","Ерасыл","Тамерлановское шоссе, 1а/3"
"859","Ерб?лан","Кожанова, 73/1"
"860","Ербулан","Достык микрорайон, 2/6"
"861","ЕРГЕШ АТА","Шардара, 60"
"862","Ердаулет","4-я, 5/2"
"863","Ердаут","Момышулы, 3/4"
"864","Ердаут","Алматинская трасса, 2/5"
"865","Ердаут-1","Бауыржан Момышулы проспект, 19/1 киоск"
"866","Ердос","Байтурсынова, 165"
"867","Ержан","Сары жайлау, 109/1"
"868","Ерзат","Майлы Кожа, 13/4, 1 этаж"
"869","Ерзат","Отырар микрорайон, 42"
"870","Ерканат","18-й микрорайон, 51, 1 этаж"
"871","Ерке-Ана","Жиделибайсын, 80/6"
"872","Еркебулан","Куртаева, 8/5"
"873","Еркебулан","Куртаева, 45/4"
"874","Еркебулан","Есенова, 3/1"
"875","Еркем","Абдыразакова, 10/2, 1 этаж"
"876","Еркін","Аймаутова, 29/1"
"877","Ерлан","Ташенова, 120"
"878","Ерлан","Халменова, 33/1"
"879","ЕРМЕК АТА","Саяхат, 1063/1"
"880","Ерн?р","Кошкарбаева, 2390"
"881","Ернар","Тауке Хана, 229/2, 1 этаж"
"882","Ернар","16-й микрорайон, 17, 1 этаж"
"883","Ескендір Ата","Восток микрорайон, 116/2"
"884","Ж?лдыз","Абая проспект, 20, 1 этаж"
"885","Ж?лдыз","Шокана Уалиханова, 8/1, 1 этаж"
"886","Ж?мабек ата","Рыскулова, 554"
"887","Ж?сіп ата","Акпан батыра, 51"
"888","Жа?абай ата","Байтерекова, 133/1"
"889","Жа?алы?","Нурсат микрорайон, 81, 1 этаж"
"890","Жа?алы?","Нурсат микрорайон, 198/4, 1 этаж"
"891","Жа?алы?","Бектаева, 14/2"
"892","ЖА?АЛЫ?","Сыпырган ата, 1Б, 1 этаж"
"893","ЖА?СЫЛЫ?","Володарского, 8/1"
"894","Жавлон","Капал батыра, 53"
"895","Жадыра","Жансугурова, 2/1"
"896","Жадыра","Нурсултана Назарбаева проспект, 35, цокольный этаж"
"897","Жазира","Айшуак, 2/1"
"898","Жайна","Алдиярова, 32, 1 этаж"
"899","Жаке","18-й микрорайон, 2/1"
"900","Жаксылык","Елшибек батыра, 112"
"901","Жал?ас","Нурсултана Назарбаева проспект, 40, цокольный этаж"
"902","Жамбыл","Галымдар, 2/1"
"903","Жан","Нуртас, 2/5"
"904","Жан-Дан","15-й микрорайон, 1, 1 этаж"
"905","Жан-Даулет","Дулати, 196а, 1 этаж"
"906","Жана","16-й микрорайон, 20, 1 этаж"
"907","ЖАНАБАЙ","Саттарханова, 9"
"908","Жанайым","Спортивный микрорайон, 6/3"
"909","Жаналык","Астана микрорайон, 89, 0 этаж"
"910","Жанар","Казыбек Би, 11/2"
"911","Жанар","Гулдала, 137"
"912","Жанар","Акберен, 43/1"
"913","ЖАНАР","Толебаева, 2/2"
"914","Жанар","Акназар Хан, 60/1, 1 этаж"
"915","Жанат","Шокана Уалиханова, 6, 1 этаж"
"916","Жанат","Бейсембаева, 18"
"917","Жаная","15-й микрорайон, 3, 1 этаж"
"918","ЖАНБИБI ?ЖЕ","Жангакты, 86/1"
"919","ЖАНДОС","Туркестан, 37/1"
"920","Жанел","Жулдыз, 85"
"921","ЖАНЕЛЬ","Майлы кожа, 15"
"922","Жанель","Сейдахан Садыкулова, 29/1"
"923","Жани","Мангельдина, 33, 1 этаж"
"924","Жания","Тамшыбулак, 1/1"
"925","Жания","Нуртас, 1"
"926","Жанна","16-й микрорайон, 40, 1 этаж"
"927","ЖАННА","Ерманова, 21, 1 этаж"
"928","ЖАННА","Курнатовского, 23/1"
"929","Жанна","Спатаева, 13/3"
"930","Жаннат Бурчаги","Ибрагим ата, 113/28"
"931","Жаннур","Нурсат микрорайон, 127/1, 1 этаж"
"932","Жансая","Алии Молдагуловой, 15а, 1 этаж"
"933","Жансая","Асар микрорайон, 1/3"
"934","Жансая","16-й микрорайон, 15, 1 этаж"
"935","Жансая","Быковского, 7, 1 этаж"
"936","Жансая","Аккараган, 1/1"
"937","ЖАНСАЯ","Мангельдина, 36, 1 этаж"
"938","Жарыл?асын","8-й микрорайон, 54/2"
"939","Жас-Улан","18-й микрорайон, 3/1"
"940","ЖАС?ЛАН","Нурлы, 32/1"
"941","Жасмин","Мамина-Сибиряка, 16/1"
"942","Жасмина","Акпан батыра, 81"
"943","Жасулан","Байтурсынова, 73/2"
"944","Жасулан","Республики проспект, 20, 1 этаж"
"945","Жасулан-Байжігіт","Жандосова, 33/1"
"946","Жасур","Сайрамская, 12"
"947","Жаулан","Жиделибайсын, 103, 1 этаж"
"948","Жахангир","Лескова, 34/1"
"949","Жейхун сити","Тауке Хана проспект, 49, 1 этаж"
"950","Жети Казына","Атамекен, 2/1"
"951","Жетысу","Желтоксан, 14/1"
"952","Жибек","17-й микрорайон, 3, 1 этаж"
"953","Жибек Жан","Тамерлановское шоссе, 148/1, 1 этаж"
"954","Жиделі","Тарбагатай, 1"
"955","Жібек жолы","Ергеш ата Исраилова, 2, 1 этаж"
"956","Жолдас ата","Наурыз, 133"
"957","Жолдас Ата","Аманкулова, 55, 1 этаж"
"958","Жомарт","Нурсат микрорайон, 164/1, 1 этаж"
"959","Жулдыз","Колбаева, 9"
"960","Жулдыз","Восток микрорайон, 114"
"961","Жулдыз","Капал батыра, 98/10"
"962","Жумабек Ата","Алматинская трасса, 9/3"
"963","Жумахан ата","Акпейил, 2/8, 1 этаж"
"964","ЖУМАШ АТА","Аль-Фараби, 264/2"
"965","За??ар","8-й микрорайон, 60/1"
"966","За??ар","Дулати, 205, 1 этаж"
